run,window,elapsed_s,n_ok,loss,min_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_ms
after-v1.2.2,17,170.0,50,0,3.693,5.333,183.52,271.117,271.117,35.059
after-v1.2.2,18,180.0,50,0,3.827,4.72,71.249,73.467,73.467,11.927
after-v1.2.2,19,190.0,50,0,3.809,4.577,54.325,81.093,81.093,10.964
after-v1.2.2,20,200.0,50,0,3.754,4.757,52.769,73.975,73.975,10.394
after-v1.2.2,21,210.0,50,0,3.63,4.456,52.886,71.337,71.337,10.861
after-v1.2.2,22,220.0,50,0,3.626,4.831,57.987,75.484,75.484,10.581
after-v1.2.2,23,230.0,50,0,3.792,73.286,703.191,1025.547,1025.547,195.649
after-v1.2.2,24,240.0,50,0,3.599,44.019,843.987,1046.082,1046.082,242.624
after-v1.2.2,25,250.0,50,0,3.627,6.156,67.33,91.142,91.142,19.641
after-v1.2.2,26,260.0,50,0,3.634,4.757,51.032,71.377,71.377,12.85
after-v1.2.2,27,270.0,50,0,3.723,5.554,61.309,92.083,92.083,15.12
after-v1.2.2,28,280.0,50,0,3.695,4.726,45.281,73.65,73.65,9.011
after-v1.2.2,29,290.0,50,0,3.749,4.266,41.705,69.647,69.647,9.216
after-v1.2.2,30,300.0,50,0,3.765,4.231,41.746,59.302,59.302,8.737
after-v1.2.2,31,310.0,50,0,3.514,4.663,44.54,68.892,68.892,10.842
after-v1.2.2,32,320.0,50,0,3.812,5.449,49.786,67.648,67.648,10.301
after-v1.2.2,33,330.0,50,0,3.764,5.061,45.22,63.975,63.975,9.579
after-v1.2.2,34,340.0,50,0,3.88,4.781,46.049,70.726,70.726,9.616
after-v1.2.2,35,350.0,50,0,3.714,5.373,58.649,88.026,88.026,11.478
after-v1.2.2,36,360.0,50,0,3.586,5.458,48.526,71.749,71.749,11.354
after-v1.2.2,37,370.0,50,0,3.682,4.665,57.842,67.579,67.579,11.865
after-v1.2.2,38,380.0,50,0,3.674,4.755,65.302,80.513,80.513,11.603
after-v1.2.2,39,390.0,50,0,3.695,4.386,65.798,74.486,74.486,10.542
after-v1.2.2,40,400.0,50,0,3.616,5.082,53.228,56.188,56.188,8.898
after-v1.2.2,41,410.0,50,0,3.669,4.403,51.307,71.749,71.749,11.471
after-v1.2.2,42,420.0,50,0,3.615,7.289,67.465,118.186,118.186,19.148
